kmalloc-16,24
kmalloc-32,22
kmalloc-8,17
blkdev_ioc,14
ext4_allocation_context,8
jbd2_journal_handle,8
fsnotify_event_holder,8
sigqueue,8
kmem_cache_node,8
jbd2_revoke_table_s,2
9920,2
vm_area_struct,1097
kmalloc-256,467
blkdev_requests,95
nf_conntrack_ffffffff81a25e00,53
xfs_efd_item,40
cfq_queue,32
tw_sock_TCP,16
kmem_cache,9
xfs_btree_cur,8
tw_sock_TCPv6,8
dquot,8
taskstats,8
numa_policy,1
9920,4
radix_tree_node,7857
inode_cache,435
cifs_inode_cache,271
proc_inode_cache,187
kmalloc-512,153
shmem_inode_cache,93
sock_inode_cache,62
scsi_cmd_cache,48
files_cache,32
xfs_da_state,8
hugetlbfs_inode_cache,2
rpc_inode_cache,1
dma-kmalloc-512,1
9920,8
ext4_inode_cache,46493
xfs_inode,246
kmalloc-1024,152
task_struct,78
kmalloc-2048,75
sighand_cache,56
kmalloc-4096,40
TCP,39
mm_struct,38
cifs_request,37
signal_cache,37
kmalloc-8192,23
idr_layer_cache,20
RAW,17
TCPv6,9
UDPv6,8
UDP,8
bdev_cache,7
blkdev_queue,6
AF_VSOCK,1
mqueue_inode_cache,1
12120,1
buffer_head,25506
dentry,25046
kmalloc-64,5128
kmalloc-192,4969
sysfs_dir_cache,742
ext4_extent_status,637
ext4_groupinfo_4k,635
anon_vma,291
selinux_inode_security,252
kmalloc-96,203
shared_policy_node,177
xfs_ili,154
kmalloc-128,145
Acpi-ParseExt,122
uhci_urb_priv,98
jbd2_journal_head,95
ext4_io_end,50
ext4_free_data,48
xfs_log_ticket,42
Acpi-Namespace,40
fsnotify_event,34
jbd2_revoke_record_s,25
kmalloc-16,24
kmalloc-32,22
kmalloc-8,17
blkdev_ioc,14
ext4_allocation_context,8
jbd2_journal_handle,8
fsnotify_event_holder,8
sigqueue,8
kmem_cache_node,8
jbd2_revoke_table_s,2
12120,2
vm_area_struct,1109
kmalloc-256,467
blkdev_requests,93
nf_conntrack_ffffffff81a25e00,53
xfs_efd_item,40
cfq_queue,32
tw_sock_TCP,16
kmem_cache,9
xfs_btree_cur,8
tw_sock_TCPv6,8
dquot,8
taskstats,8
numa_policy,1
12120,4
radix_tree_node,8128
inode_cache,435
cifs_inode_cache,271
proc_inode_cache,179
kmalloc-512,153
shmem_inode_cache,93
sock_inode_cache,62
scsi_cmd_cache,42
files_cache,32
xfs_da_state,8
hugetlbfs_inode_cache,2
rpc_inode_cache,1
dma-kmalloc-512,1
12120,8
ext4_inode_cache,41343
xfs_inode,246
kmalloc-1024,152
task_struct,78
kmalloc-2048,75
sighand_cache,56
TCP,39
mm_struct,38
cifs_request,37
signal_cache,37
kmalloc-4096,36
kmalloc-8192,23
idr_layer_cache,20
RAW,17
TCPv6,9
UDPv6,8
UDP,8
bdev_cache,7
blkdev_queue,6
AF_VSOCK,1
mqueue_inode_cache,1
12164,1
dentry,31872
buffer_head,25465
kmalloc-64,5705
kmalloc-192,4969
sysfs_dir_cache,742
ext4_groupinfo_4k,635
ext4_extent_status,624
anon_vma,288
selinux_inode_security,252
kmalloc-96,204
shared_policy_node,177
xfs_ili,154
kmalloc-128,145
Acpi-ParseExt,122
uhci_urb_priv,98
jbd2_journal_head,95
ext4_io_end,50
ext4_free_data,48
xfs_log_ticket,42
Acpi-Namespace,40
fsnotify_event,34
jbd2_revoke_record_s,25
kmalloc-16,24
kmalloc-32,22
kmalloc-8,17
blkdev_ioc,14
ext4_allocation_context,8
jbd2_journal_handle,8
fsnotify_event_holder,8
sigqueue,8
kmem_cache_node,8
jbd2_revoke_table_s,2
12164,2
vm_area_struct,1129
kmalloc-256,468
blkdev_requests,93
nf_conntrack_ffffffff81a25e00,53
xfs_efd_item,40
cfq_queue,32
tw_sock_TCP,16
kmem_cache,9
xfs_btree_cur,8
tw_sock_TCPv6,8
dquot,8
taskstats,8
numa_policy,1
12164,4
cifs_inode_cache,11912
radix_tree_node,8019
inode_cache,435
proc_inode_cache,179
kmalloc-512,153
shmem_inode_cache,93
sock_inode_cache,62
scsi_cmd_cache,42
files_cache,32
xfs_da_state,8
hugetlbfs_inode_cache,2
rpc_inode_cache,1
